symptom,patient_question,doctor_reply,language,appointment_needed
headache,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Tamil,Yes
headache,How to control blood sugar?,Please consult a physician and take rest.,Hindi,No
chest pain,When should I see a doctor?,Blood tests may be required.,Hindi,No
fatigue,Is headache dangerous?,Please consult a physician and take rest.,Tamil,Yes
chest pain,How to reduce BP naturally?,Please consult a physician and take rest.,Hindi,No
fever,How to reduce BP naturally?,Blood tests may be required.,Tamil,No
breathing difficulty,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,No
fatigue,When should I see a doctor?,Avoid self-medication without advice.,Telugu,No
vomiting,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
chest pain,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
chest pain,When should I see a doctor?,Avoid self-medication without advice.,English,Yes
nausea,Can I take paracetamol daily?,Please consult a physician and take rest.,Tamil,No
headache,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",English,Yes
fatigue,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,No
chest pain,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",English,Yes
chest pain,Can I take paracetamol daily?,Blood tests may be required.,Telugu,No
fatigue,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
nausea,When should I see a doctor?,Blood tests may be required.,Telugu,Yes
high blood pressure,When should I see a doctor?,Please consult a physician and take rest.,English,Yes
cough,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
cough,When should I see a doctor?,Please consult a physician and take rest.,Hindi,Yes
vomiting,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
high blood pressure,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
diabetes symptoms,How to reduce BP naturally?,Avoid self-medication without advice.,Telugu,No
chest pain,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Tamil,No
chest pain,Can I take paracetamol daily?,Blood tests may be required.,Hindi,No
vomiting,Is chest pain serious?,Blood tests may be required.,Hindi,Yes
high blood pressure,Is headache dangerous?,Blood tests may be required.,Tamil,Yes
high blood pressure,Can I take paracetamol daily?,Avoid self-medication without advice.,English,Yes
chest pain,How to reduce BP naturally?,Blood tests may be required.,Tamil,Yes
high blood pressure,Can I take paracetamol daily?,Blood tests may be required.,English,No
headache,Is headache dangerous?,Avoid self-medication without advice.,Tamil,Yes
fever,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,No
headache,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Hindi,No
diabetes symptoms,How to control blood sugar?,Please consult a physician and take rest.,Hindi,No
diabetes symptoms,Is chest pain serious?,Blood tests may be required.,Hindi,No
nausea,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
breathing difficulty,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
chest pain,Is chest pain serious?,Blood tests may be required.,English,Yes
cough,When should I see a doctor?,Please consult a physician and take rest.,Telugu,Yes
high blood pressure,How to reduce BP naturally?,Please consult a physician and take rest.,Tamil,Yes
fatigue,Is headache dangerous?,Avoid self-medication without advice.,Tamil,No
cough,How to reduce BP naturally?,Blood tests may be required.,Hindi,No
chest pain,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",English,No
nausea,How to control blood sugar?,Please consult a physician and take rest.,English,Yes
chest pain,Is headache dangerous?,Please consult a physician and take rest.,Telugu,Yes
headache,I feel tired all the time,Please consult a physician and take rest.,Telugu,Yes
high blood pressure,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Telugu,No
nausea,I feel tired all the time,Blood tests may be required.,Hindi,No
high blood pressure,Is headache dangerous?,Blood tests may be required.,Tamil,No
cough,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
cough,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Telugu,No
fatigue,Is chest pain serious?,Please consult a physician and take rest.,Telugu,No
headache,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
breathing difficulty,I feel tired all the time,Blood tests may be required.,Hindi,No
vomiting,"I have fever and cough, what should I do?",Blood tests may be required.,Telugu,No
diabetes symptoms,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
nausea,How to control blood sugar?,Avoid self-medication without advice.,English,No
fever,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
fever,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Hindi,Yes
fatigue,When should I see a doctor?,Please consult a physician and take rest.,Hindi,Yes
nausea,How to reduce BP naturally?,Blood tests may be required.,English,No
vomiting,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
vomiting,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
cough,Can I take paracetamol daily?,Please consult a physician and take rest.,English,Yes
cough,Can I take paracetamol daily?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
fatigue,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,English,No
vomiting,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,No
cough,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",English,Yes
nausea,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
diabetes symptoms,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,English,No
cough,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
cough,"I have fever and cough, what should I do?",Avoid self-medication without advice.,English,Yes
vomiting,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
headache,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,No
vomiting,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
fatigue,"I have fever and cough, what should I do?",Blood tests may be required.,Hindi,No
high blood pressure,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,No
high blood pressure,I feel tired all the time,Avoid self-medication without advice.,Telugu,Yes
headache,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Hindi,Yes
vomiting,When should I see a doctor?,Please consult a physician and take rest.,English,Yes
chest pain,Is chest pain serious?,Avoid self-medication without advice.,English,No
headache,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Telugu,No
diabetes symptoms,Is headache dangerous?,Please consult a physician and take rest.,Telugu,Yes
cough,How to reduce BP naturally?,Please consult a physician and take rest.,Hindi,No
nausea,Is headache dangerous?,Blood tests may be required.,English,No
chest pain,Is chest pain serious?,Blood tests may be required.,English,Yes
vomiting,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Hindi,No
vomiting,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
chest pain,I feel tired all the time,Avoid self-medication without advice.,English,Yes
fever,How to reduce BP naturally?,Please consult a physician and take rest.,Tamil,No
breathing difficulty,Can I take paracetamol daily?,Please consult a physician and take rest.,Telugu,No
breathing difficulty,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,No
cough,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Tamil,Yes
high blood pressure,Can I take paracetamol daily?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
chest pain,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Tamil,No
breathing difficulty,Is chest pain serious?,Please consult a physician and take rest.,Tamil,No
fatigue,Is headache dangerous?,Please consult a physician and take rest.,Tamil,Yes
cough,Can I take paracetamol daily?,Please consult a physician and take rest.,Hindi,Yes
chest pain,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Tamil,No
cough,"I have fever and cough, what should I do?",Blood tests may be required.,English,No
fever,I feel tired all the time,Avoid self-medication without advice.,Telugu,No
diabetes symptoms,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
cough,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Tamil,No
headache,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
nausea,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
fatigue,Is headache dangerous?,Please consult a physician and take rest.,Hindi,Yes
nausea,I feel tired all the time,Please consult a physician and take rest.,English,Yes
fever,Is headache dangerous?,Blood tests may be required.,English,No
chest pain,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
cough,I feel tired all the time,Avoid self-medication without advice.,Hindi,No
fatigue,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
fever,When should I see a doctor?,Avoid self-medication without advice.,Tamil,No
chest pain,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
diabetes symptoms,"I have fever and cough, what should I do?",Blood tests may be required.,Hindi,Yes
fatigue,Is chest pain serious?,Blood tests may be required.,Tamil,No
headache,How to control blood sugar?,Blood tests may be required.,Telugu,No
chest pain,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Tamil,No
chest pain,Is headache dangerous?,Please consult a physician and take rest.,Tamil,No
fatigue,How to control blood sugar?,Please consult a physician and take rest.,Hindi,No
fever,Can I take paracetamol daily?,Avoid self-medication without advice.,Tamil,Yes
high blood pressure,Is headache dangerous?,Blood tests may be required.,Tamil,No
fatigue,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
fever,Can I take paracetamol daily?,"Maintain diet, exercise and medication regularly.",English,Yes
cough,Is headache dangerous?,Avoid self-medication without advice.,Telugu,Yes
cough,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
chest pain,Is chest pain serious?,Blood tests may be required.,Hindi,No
chest pain,When should I see a doctor?,Please consult a physician and take rest.,English,No
vomiting,Is headache dangerous?,Blood tests may be required.,English,Yes
cough,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Tamil,No
fatigue,How to reduce BP naturally?,Avoid self-medication without advice.,Telugu,Yes
headache,How to reduce BP naturally?,Please consult a physician and take rest.,Telugu,Yes
nausea,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",English,Yes
fatigue,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
headache,Can I take paracetamol daily?,Avoid self-medication without advice.,Hindi,Yes
fatigue,Can I take paracetamol daily?,Please consult a physician and take rest.,Telugu,Yes
cough,How to reduce BP naturally?,Please consult a physician and take rest.,Tamil,No
breathing difficulty,Is chest pain serious?,Blood tests may be required.,Telugu,No
fever,Is chest pain serious?,Blood tests may be required.,Hindi,No
nausea,Is headache dangerous?,Avoid self-medication without advice.,Hindi,No
fever,"I have fever and cough, what should I do?",Blood tests may be required.,Telugu,Yes
diabetes symptoms,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
diabetes symptoms,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Hindi,Yes
high blood pressure,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",English,No
diabetes symptoms,Is headache dangerous?,Please consult a physician and take rest.,English,No
vomiting,How to control blood sugar?,Avoid self-medication without advice.,English,No
nausea,I feel tired all the time,Blood tests may be required.,English,No
breathing difficulty,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",English,Yes
breathing difficulty,Is headache dangerous?,Please consult a physician and take rest.,English,Yes
breathing difficulty,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Hindi,No
fatigue,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,English,No
breathing difficulty,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Hindi,Yes
high blood pressure,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,Yes
vomiting,How to control blood sugar?,Blood tests may be required.,English,No
high blood pressure,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
cough,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Telugu,No
cough,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
fever,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Telugu,No
fatigue,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Telugu,Yes
headache,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,Yes
fever,"I have fever and cough, what should I do?",Avoid self-medication without advice.,English,Yes
fatigue,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
high blood pressure,When should I see a doctor?,Please consult a physician and take rest.,Telugu,Yes
diabetes symptoms,Is headache dangerous?,Blood tests may be required.,Tamil,Yes
fatigue,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
fatigue,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
cough,Can I take paracetamol daily?,Please consult a physician and take rest.,English,No
cough,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
vomiting,When should I see a doctor?,Avoid self-medication without advice.,Hindi,No
chest pain,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
chest pain,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
nausea,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
headache,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
chest pain,How to reduce BP naturally?,Avoid self-medication without advice.,Hindi,Yes
fatigue,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Hindi,No
fever,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
cough,"I have fever and cough, what should I do?",Blood tests may be required.,English,No
chest pain,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",English,No
high blood pressure,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,English,No
fatigue,"I have fever and cough, what should I do?",Blood tests may be required.,English,No
fatigue,When should I see a doctor?,Avoid self-medication without advice.,English,No
chest pain,Can I take paracetamol daily?,Avoid self-medication without advice.,English,No
chest pain,Is headache dangerous?,Please consult a physician and take rest.,Hindi,No
diabetes symptoms,I feel tired all the time,Blood tests may be required.,English,No
breathing difficulty,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
fever,How to control blood sugar?,Please consult a physician and take rest.,Tamil,No
vomiting,How to control blood sugar?,Please consult a physician and take rest.,Hindi,Yes
diabetes symptoms,How to control blood sugar?,Please consult a physician and take rest.,Tamil,Yes
chest pain,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Hindi,No
vomiting,How to reduce BP naturally?,Avoid self-medication without advice.,English,Yes
high blood pressure,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
fatigue,How to reduce BP naturally?,Blood tests may be required.,Tamil,No
breathing difficulty,I feel tired all the time,Avoid self-medication without advice.,English,No
fever,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
diabetes symptoms,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Tamil,No
chest pain,How to reduce BP naturally?,Blood tests may be required.,Telugu,Yes
chest pain,Is chest pain serious?,Please consult a physician and take rest.,Telugu,No
breathing difficulty,How to reduce BP naturally?,Avoid self-medication without advice.,Hindi,No
nausea,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
diabetes symptoms,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
vomiting,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
vomiting,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
fever,Is chest pain serious?,Avoid self-medication without advice.,Hindi,No
cough,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Tamil,No
high blood pressure,Is chest pain serious?,Please consult a physician and take rest.,Tamil,No
vomiting,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",English,No
cough,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,No
chest pain,Is headache dangerous?,Please consult a physician and take rest.,English,Yes
cough,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
nausea,Is chest pain serious?,Avoid self-medication without advice.,Tamil,Yes
fever,I feel tired all the time,Blood tests may be required.,Tamil,Yes
high blood pressure,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
diabetes symptoms,When should I see a doctor?,Please consult a physician and take rest.,English,No
headache,I feel tired all the time,"Maintain diet, exercise and medication regularly.",English,No
high blood pressure,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,No
vomiting,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
cough,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
diabetes symptoms,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
vomiting,When should I see a doctor?,Please consult a physician and take rest.,Telugu,Yes
diabetes symptoms,Can I take paracetamol daily?,Avoid self-medication without advice.,English,No
fever,I feel tired all the time,Blood tests may be required.,Tamil,Yes
breathing difficulty,"I have fever and cough, what should I do?",Blood tests may be required.,English,Yes
nausea,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
fever,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,English,Yes
cough,I feel tired all the time,Please consult a physician and take rest.,English,No
fatigue,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
chest pain,When should I see a doctor?,Avoid self-medication without advice.,English,Yes
headache,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
headache,I feel tired all the time,Blood tests may be required.,Tamil,Yes
breathing difficulty,How to control blood sugar?,Blood tests may be required.,Hindi,No
nausea,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,English,No
breathing difficulty,Can I take paracetamol daily?,Avoid self-medication without advice.,Telugu,Yes
headache,Is chest pain serious?,Avoid self-medication without advice.,Hindi,Yes
nausea,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
nausea,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Telugu,No
headache,Is chest pain serious?,Blood tests may be required.,Telugu,Yes
diabetes symptoms,I feel tired all the time,Blood tests may be required.,Tamil,Yes
chest pain,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
cough,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
high blood pressure,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Telugu,No
vomiting,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
breathing difficulty,Is headache dangerous?,Blood tests may be required.,Telugu,Yes
high blood pressure,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
cough,Is chest pain serious?,Blood tests may be required.,Tamil,Yes
cough,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
nausea,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
high blood pressure,Can I take paracetamol daily?,Avoid self-medication without advice.,Telugu,No
fatigue,How to control blood sugar?,Avoid self-medication without advice.,Telugu,Yes
diabetes symptoms,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
high blood pressure,Can I take paracetamol daily?,Please consult a physician and take rest.,Hindi,Yes
cough,How to reduce BP naturally?,Blood tests may be required.,Telugu,No
chest pain,I feel tired all the time,Please consult a physician and take rest.,Hindi,Yes
chest pain,I feel tired all the time,Please consult a physician and take rest.,English,Yes
fatigue,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
nausea,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
diabetes symptoms,Can I take paracetamol daily?,Avoid self-medication without advice.,Tamil,Yes
breathing difficulty,How to control blood sugar?,Please consult a physician and take rest.,Hindi,No
breathing difficulty,How to reduce BP naturally?,Please consult a physician and take rest.,Hindi,Yes
diabetes symptoms,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Telugu,No
chest pain,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
cough,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
fever,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
cough,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
chest pain,Is headache dangerous?,Blood tests may be required.,Tamil,No
high blood pressure,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
breathing difficulty,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
breathing difficulty,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,English,No
diabetes symptoms,Is chest pain serious?,Blood tests may be required.,Telugu,No
fever,How to reduce BP naturally?,Avoid self-medication without advice.,Hindi,Yes
fatigue,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
fatigue,How to control blood sugar?,Please consult a physician and take rest.,Tamil,No
vomiting,How to reduce BP naturally?,Avoid self-medication without advice.,Hindi,No
fever,I feel tired all the time,Please consult a physician and take rest.,Tamil,No
vomiting,When should I see a doctor?,Please consult a physician and take rest.,Hindi,Yes
fatigue,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Telugu,No
breathing difficulty,Is chest pain serious?,Blood tests may be required.,English,No
headache,Is headache dangerous?,Please consult a physician and take rest.,Telugu,Yes
headache,Can I take paracetamol daily?,Blood tests may be required.,Telugu,No
diabetes symptoms,When should I see a doctor?,Avoid self-medication without advice.,Tamil,Yes
vomiting,Is headache dangerous?,Avoid self-medication without advice.,English,No
fatigue,How to control blood sugar?,Blood tests may be required.,Tamil,No
breathing difficulty,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Tamil,No
chest pain,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Telugu,Yes
chest pain,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Hindi,No
cough,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
nausea,How to reduce BP naturally?,Blood tests may be required.,Telugu,Yes
headache,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Telugu,No
high blood pressure,Is headache dangerous?,Blood tests may be required.,Telugu,No
headache,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Tamil,No
nausea,How to reduce BP naturally?,Please consult a physician and take rest.,English,Yes
chest pain,I feel tired all the time,Blood tests may be required.,English,No
headache,Can I take paracetamol daily?,Blood tests may be required.,Tamil,No
breathing difficulty,How to control blood sugar?,Avoid self-medication without advice.,Telugu,Yes
nausea,Is chest pain serious?,Blood tests may be required.,Hindi,No
high blood pressure,"I have fever and cough, what should I do?",Avoid self-medication without advice.,English,No
vomiting,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
cough,Can I take paracetamol daily?,Please consult a physician and take rest.,Telugu,Yes
nausea,When should I see a doctor?,Avoid self-medication without advice.,English,No
chest pain,When should I see a doctor?,Avoid self-medication without advice.,Hindi,No
fever,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
cough,Is headache dangerous?,Please consult a physician and take rest.,Telugu,No
chest pain,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Telugu,No
fever,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
vomiting,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,English,No
headache,I feel tired all the time,Blood tests may be required.,Tamil,Yes
vomiting,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
fever,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
high blood pressure,Is chest pain serious?,Avoid self-medication without advice.,Telugu,Yes
diabetes symptoms,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Tamil,Yes
high blood pressure,How to reduce BP naturally?,Please consult a physician and take rest.,Telugu,No
vomiting,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
headache,Can I take paracetamol daily?,Blood tests may be required.,English,Yes
fatigue,I feel tired all the time,Avoid self-medication without advice.,Telugu,No
chest pain,"I have fever and cough, what should I do?",Blood tests may be required.,English,Yes
fatigue,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
vomiting,I feel tired all the time,Blood tests may be required.,Tamil,No
high blood pressure,I feel tired all the time,Please consult a physician and take rest.,English,Yes
nausea,Can I take paracetamol daily?,Avoid self-medication without advice.,Hindi,No
nausea,When should I see a doctor?,Please consult a physician and take rest.,Tamil,No
breathing difficulty,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",Telugu,No
diabetes symptoms,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,No
fever,Is chest pain serious?,Please consult a physician and take rest.,Tamil,Yes
high blood pressure,Is headache dangerous?,Blood tests may be required.,Tamil,Yes
chest pain,Can I take paracetamol daily?,Please consult a physician and take rest.,Tamil,Yes
diabetes symptoms,How to control blood sugar?,Avoid self-medication without advice.,Telugu,Yes
fatigue,How to control blood sugar?,Please consult a physician and take rest.,Tamil,No
vomiting,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
nausea,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
high blood pressure,I feel tired all the time,Monitor symptoms and seek emergency care if pain increases.,Tamil,Yes
nausea,Is chest pain serious?,Monitor symptoms and seek emergency care if pain increases.,English,No
vomiting,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Tamil,No
chest pain,How to control blood sugar?,Blood tests may be required.,Tamil,Yes
high blood pressure,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
breathing difficulty,Can I take paracetamol daily?,Avoid self-medication without advice.,English,No
